"gid";"id_grid";"dir";"coor";"x";"y"
192;358;"A 5C O 47B O 15";"3.464134563081,-76.588694367752";-76.588694367752;3.464134563081
193;358;"A 5C O 47B O 03";"3.464130118772,-76.588655778967";-76.588655778967;3.464130118772
194;358;"A 5C O 47B O 09";"3.464127495162,-76.588692411385";-76.588692411385;3.464127495162
195;358;"C 46A O 5C O 12";"3.463452098533,-76.588270605698";-76.588270605698;3.463452098533
196;358;"A 5C O 46A O 03";"3.463576528138,-76.588339193514";-76.588339193514;3.463576528138
197;358;"A 5C O 46 O 45";"3.463155087265,-76.588291210787";-76.588291210787;3.463155087265
198;358;"C 46B O 5D O 09";"3.463962418678,-76.588272388952";-76.588272388952;3.463962418678
199;358;"C 46B O 5D O 04";"3.463792966744,-76.588258712896";-76.588258712896;3.463792966744
200;358;"C 46A O 5C O 13";"3.463603268982,-76.588286220395";-76.588286220395;3.463603268982
201;358;"C 46A O 5D O 03";"3.463673872984,-76.588204899489";-76.588204899489;3.463673872984
202;358;"C 46A O 5D O 09 01";"3.463698199603,-76.588130720648";-76.588130720648;3.463698199603
203;358;"C 47 O 5D O 04";"3.464039679782,-76.588473982613";-76.588473982613;3.464039679782
204;358;"A 5A O 46 O 86";"3.463434703918,-76.588590571918";-76.588590571918;3.463434703918
205;358;"A 5A O 46 O 74";"3.463322312691,-76.588477320447";-76.588477320447;3.463322312691
206;358;"A 5A O 46 O 68";"3.463322312691,-76.588477320447";-76.588477320447;3.463322312691
207;358;"A 5A O 46 O 50";"3.463111187751,-76.588314908161";-76.588314908161;3.463111187751
208;358;"A 5A O 46 O 102";"3.463616034375,-76.588697370444";-76.588697370444;3.463616034375
209;358;"A 5A O 46 O 80";"3.463362640479,-76.588525174439";-76.588525174439;3.463362640479
210;358;"A 5A O 47 O 04 01";"3.46400245317,-76.588984390821";-76.588984390821;3.46400245317
211;358;"A 5A O 47B O 04";"3.464055598117,-76.588842721141";-76.588842721141;3.464055598117
212;358;"C 47 O 5A O 16";"3.463882712951,-76.588934368388";-76.588934368388;3.463882712951
213;358;"A 5D O 46A O 15 0200";"3.463722829783,-76.588403200956";-76.588403200956;3.463722829783
214;358;"A 5A O 46 O 84";"3.463362640479,-76.588525174439";-76.588525174439;3.463362640479
215;358;"C 47 O 5B O 07";"3.464062557895,-76.588816018935";-76.588816018935;3.464062557895
216;358;"C 47 O 5B O 10 01";"3.463929318743,-76.58887367626";-76.58887367626;3.463929318743
217;358;"C 47 O 5B O 12";"3.46388797131,-76.58885751801";-76.58885751801;3.46388797131
218;358;"A 5D O 46B O 11";"3.463916202085,-76.588554899337";-76.588554899337;3.463916202085
219;358;"C 47 O 5D O 14";"3.464049842571,-76.588442678778";-76.588442678778;3.464049842571
220;358;"C 47 O 5B O 30";"3.463934853828,-76.588515607899";-76.588515607899;3.463934853828
221;358;"C 47 O 5A O 15";"3.46400245317,-76.588984390821";-76.588984390821;3.46400245317
222;358;"A 5A O 46 O 92  1";"3.463424367437,-76.588371081703";-76.588371081703;3.463424367437
223;358;"A 5A O 46 O 132";"3.463882376124,-76.58901040309";-76.58901040309;3.463882376124
224;358;"A 5A O 46 O 126";"3.463807544795,-76.58889869731";-76.58889869731;3.463807544795
225;358;"A 5A O 46 O 120";"3.463751852567,-76.588850079248";-76.588850079248;3.463751852567
226;358;"A 5A O 46 O 108";"3.463671478317,-76.588726588064";-76.588726588064;3.463671478317
227;358;"A 5A O 46 O 56";"3.46319965567,-76.588381368728";-76.588381368728;3.46319965567
228;358;"A 5A O 46 O 62";"3.463253050812,-76.588429739377";-76.588429739377;3.463253050812
229;358;"C 47 O 5B O 26";"3.463898882599,-76.588692436913";-76.588692436913;3.463898882599
230;358;"C 47 O 5B O 14";"3.463897310299,-76.588836462923";-76.588836462923;3.463897310299
231;358;"A 5A O 46 O 114";"3.463724316818,-76.58877428201";-76.58877428201;3.463724316818
232;358;"A 5A O 46 O 96";"3.463555541944,-76.588666983795";-76.588666983795;3.463555541944
233;358;"A 5A O 46 O 94";"3.463570076697,-76.588583095405";-76.588583095405;3.463570076697
234;358;"A 5A O 46 O 90";"3.463567146891,-76.588477087998";-76.588477087998;3.463567146891
235;358;"A 5A O 46 O 88";"3.463522897337,-76.588441414534";-76.588441414534;3.463522897337
236;358;"A 5D O 47 O 09";"3.464003474274,-76.588597121816";-76.588597121816;3.464003474274
237;358;"A 5D O 47 O 03";"3.463982568528,-76.58854845544";-76.58854845544;3.463982568528
238;358;"A 5D O 46B O 12";"3.463936894728,-76.588380896799";-76.588380896799;3.463936894728
239;358;"A 5D O 46A O 15";"3.463722829783,-76.588403200956";-76.588403200956;3.463722829783
240;358;"C 47 O 5D O 12";"3.464047810031,-76.588448939563";-76.588448939563;3.464047810031
241;358;"C 47 O 5B O 32";"3.463934471017,-76.588618745675";-76.588618745675;3.463934471017
242;358;"A 5C O 47A O 03";"3.464130118772,-76.588655778967";-76.588655778967;3.464130118772
243;358;"A 5A O 46 O 133";"3.463440268903,-76.588726141455";-76.588726141455;3.463440268903
244;358;"C 47 O 5B O 20";"3.463929278961,-76.588814707429";-76.588814707429;3.463929278961
245;358;"A 5B O 47 O 10";"3.464119106761,-76.588855214385";-76.588855214385;3.464119106761
