"gid";"id_grid";"dir";"coor";"x";"y"
8187;3051;"K 53B 12F O 06";"3.419078624076,-76.565761262989";-76.565761262989;3.419078624076
8188;3051;"K 53B 12F O 03";"3.418951189081,-76.565713890281";-76.565713890281;3.418951189081
8189;3051;"K 53B 12E O 13";"3.418957156904,-76.56567476052";-76.56567476052;3.418957156904
8190;3051;"K 53 12E O 12";"3.419042186976,-76.56540356104";-76.56540356104;3.419042186976
8191;3051;"K 53B 12E O 10";"3.419021171034,-76.565488410508";-76.565488410508;3.419021171034
8192;3051;"K 53B 12E O 09";"3.418997598185,-76.565620653114";-76.565620653114;3.418997598185
8193;3051;"C 12E O 53 10";"3.419683818132,-76.565163551592";-76.565163551592;3.419683818132
8194;3051;"K 53 12E O 17";"3.419717267672,-76.565334070631";-76.565334070631;3.419717267672
8195;3051;"K 53 12E O 23";"3.419562752118,-76.564962621351";-76.564962621351;3.419562752118
8196;3051;"K 53 12E O 25";"3.419843784907,-76.565634352121";-76.565634352121;3.419843784907
8197;3051;"K 53 12E O 24";"3.419970848435,-76.565459330715";-76.565459330715;3.419970848435
8198;3051;"K 53 12E O 21";"3.419759593124,-76.56548960149";-76.56548960149;3.419759593124
8199;3051;"K 53 12E O 18";"3.419889724562,-76.565394961233";-76.565394961233;3.419889724562
8200;3051;"K 53 12E O 16";"3.419883003596,-76.565340650499";-76.565340650499;3.419883003596
8201;3051;"K 53 12E O 14";"3.419878701226,-76.565281270054";-76.565281270054;3.419878701226
8202;3051;"K 53 12E O 13";"3.419378477399,-76.565162748859";-76.565162748859;3.419378477399
8203;3051;"K 53 12E O 10";"3.419860698057,-76.565208712217";-76.565208712217;3.419860698057
8204;3051;"K 53 12E O 09";"3.419630257742,-76.565189555315";-76.565189555315;3.419630257742
8205;3051;"K 53 12E O 27";"3.419610340444,-76.565050777426";-76.565050777426;3.419610340444
8206;3051;"K 53 12E O 20";"3.419904113041,-76.565476025122";-76.565476025122;3.419904113041
8207;3051;"K 53 12E O 26";"3.419805387859,-76.565060588209";-76.565060588209;3.419805387859
8208;3051;"K 53 12C O 14";"3.419108153477,-76.565115524191";-76.565115524191;3.419108153477
8209;3051;"K 53 12C O 11";"3.418965797473,-76.565103237551";-76.565103237551;3.418965797473
